,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd,,,,point,t1,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
,,,,,,,,,,,,,,5y13y,5,18,4.610805519,3.976696004,1.808179534,2.985874905,3.882942535,1.552727912,4.819106111,2.9629506,3.690123426
,,,,,,,,,,,,,,5y14y,5,19,4.584509322,3.974183173,1.803124714,2.95626612,3.879077834,1.579289184,4.845342833,2.938451065,3.678930386
,,,,,,,,,,,,,,5y15y,5,20,4.553540697,3.964968931,1.796909756,2.924875339,3.87404521,1.599900153,4.870661028,2.912118987,3.663477454
,,,,,,,,,,,,,,5y16y,5,21,4.518678633,3.949571565,1.790075925,2.893355298,3.868267001,1.613999183,4.895288627,2.884768763,3.644280999
,,,,,,,,,,,,,,5y17y,5,22,4.481185048,3.929216739,1.782824089,2.86225092,3.861838266,1.622490243,4.918905874,2.857058405,3.622345233
,,,,,,,,,,,,,,5y18y,5,23,4.442398668,3.905217448,1.775272416,2.831842516,3.854751875,1.626571808,4.941063608,2.829583045,3.59873312
,,,,,,,,,,,,,,5y19y,5,24,4.403614984,3.878795564,1.767538075,2.802412225,3.846974691,1.62737891,4.961315071,2.802909891,3.5744431
,,,,,,,,,,,,,,5y20y,5,25,4.366097181,3.851104813,1.759737491,2.774243587,3.838454061,1.625999074,4.979215318,2.777585239,3.550425281
,,,,,,,,,,,,,,5y21y,5,26,4.330798422,3.823077777,1.751968257,2.747518616,3.829158238,1.623369257,4.994497765,2.753981425,3.527401068
,,,,,,,,,,,,,,5y22y,5,27,4.297530826,3.794941297,1.744255741,2.722016792,3.819184594,1.619948838,5.007592415,2.731837312,3.505309112
,,,,,,,,,,,,,,5y23y,5,28,4.265854927,3.766750367,1.736609833,2.697433044,3.808651177,1.616080708,5.019076564,2.710751079,3.483906698
,,,,,,,,,,,,,,5y24y,5,29,4.235362642,3.738560726,1.72904293,2.673478213,3.797663513,1.612107982,5.029501159,2.690337152,3.462962527
,,,,,,,,,,,,,,5y25y,5,30,4.205670984,3.710428713,1.721569429,2.649875859,3.786317111,1.608373962,5.039396067,2.670222945,3.442254422
,,,,,,,,,,,,,,6y1y,6,7,4.551518642,3.70614174,1.715125445,2.895237404,3.774607473,1.128930589,4.399537649,2.949258035,3.560062458
,,,,,,,,,,,,,,6y2y,6,8,4.598138166,3.783586992,1.727519338,2.926445061,3.772277468,1.184887134,4.477805219,2.979988461,3.576980101
,,,,,,,,,,,,,,6y3y,6,9,4.631179595,3.799527167,1.742391438,2.952832982,3.785056453,1.235850061,4.52237641,2.982951606,3.597866237
,,,,,,,,,,,,,,6y4y,6,10,4.647383226,3.807294275,1.75974133,2.987644076,3.808930891,1.289293259,4.560179909,3.005014422,3.617915085
,,,,,,,,,,,,,,6y5y,6,11,4.6617162,3.831111419,1.776793948,3.018589404,3.829890861,1.339088063,4.599517404,3.022999108,3.639277511
,,,,,,,,,,,,,,6y6y,6,12,4.674455223,3.865574634,1.792286589,3.042701741,3.847636508,1.384664618,4.639670361,3.032878474,3.661058607
,,,,,,,,,,,,,,6y7y,6,13,4.683144069,3.903679138,1.805460861,3.059301713,3.863103621,1.426929192,4.679788899,3.036412862,3.681296986
,,,,,,,,,,,,,,6y8y,6,14,4.68617034,3.940007915,1.815529812,3.067026192,3.875786163,1.466647895,4.718671172,3.033957896,3.697951099
,,,,,,,,,,,,,,6y9y,6,15,4.682296521,3.969851016,1.821693825,3.064207851,3.884537261,1.504524191,4.754959181,3.025244781,3.708943879
,,,,,,,,,,,,,,6y10y,6,16,4.670819492,3.989858673,1.823490623,3.049964049,3.888452685,1.540854354,4.78767083,3.010124564,3.712775128
,,,,,,,,,,,,,,6y11y,6,17,4.65243195,4.000623459,1.821735464,3.026822681,3.888552486,1.574517944,4.817472788,2.989888809,3.710151265
,,,,,,,,,,,,,,6y12y,6,18,4.628025888,4.003255557,1.817380038,2.997641295,3.885982406,1.604234192,4.845189761,2.965904213,3.702012841
,,,,,,,,,,,,,,6y13y,6,19,4.598382264,3.998506389,1.811228655,2.964849805,3.881586585,1.628876617,4.871438259,2.939292897,3.689044228
,,,,,,,,,,,,,,6y14y,6,20,4.564210669,3.986896614,1.803990918,2.930603704,3.876015291,1.647417838,4.896700937,2.911019826,3.671765098
,,,,,,,,,,,,,,6y15y,6,21,4.526313136,3.969010912,1.796229421,2.896600436,3.869720529,1.659288958,4.921234381,2.881919532,3.650736369
,,,,,,,,,,,,,,6y16y,6,22,4.485999046,3.94616895,1.788139752,2.863349213,3.862799153,1.665480098,4.944706097,2.852655353,3.627026157
,,,,,,,,,,,,,,6y17y,6,23,4.444647937,3.919760747,1.779831177,2.831087475,3.855239393,1.66727294,4.966649567,2.823822798,3.601749748
,,,,,,,,,,,,,,6y18y,6,24,4.403584645,3.89106302,1.771413886,2.800064114,3.847003058,1.665863708,4.986604669,2.795987816,3.575942692
,,,,,,,,,,,,,,6y19y,6,25,4.364093818,3.861269205,1.762998755,2.770536501,3.838032481,1.662385733,5.004116002,2.769694608,3.550581851
,,,,,,,,,,,,,,6y20y,6,26,4.32713029,3.831332598,1.754677996,2.742660636,3.828292946,1.657805092,5.018917538,2.745305134,3.526398599
,,,,,,,,,,,,,,6y21y,6,27,4.292453195,3.801463198,1.746469182,2.716175771,3.817885571,1.652581995,5.031472896,2.722519696,3.503302382
,,,,,,,,,,,,,,6y22y,6,28,4.259568284,3.771694413,1.738375122,2.690740081,3.806932409,1.647054715,5.042393576,2.700898527,3.481018346
,,,,,,,,,,,,,,6y23y,6,29,4.22802358,3.742064176,1.730402471,2.666034735,3.795541749,1.641562565,5.052257631,2.680025409,3.459289139
,,,,,,,,,,,,,,6y24y,6,30,4.197400564,3.712614019,1.722560927,2.641759093,3.783810987,1.636445687,5.061616641,2.659502766,3.437871254
